	16depth	25depth
K02841	1353.0	520.0
K01337	1182.0	225.0
K03800	1566.0	615.0
K03569	6452.0	3193.0
K03469	1983.0	1252.0
K00803	1894.0	980.0
K06207	8550.0	4023.0
K04773	5447.0	2452.0
K01126	5123.0	2546.0
K11928	3659.0	1989.0
K03686	6421.0	3266.0
K07487	9396.0	6101.0
K00249	22413.0	14303.0
K00459	5020.0	2689.0
K03286	4285.0	1925.0
K02257	3123.0	2500.0
K02051	2373.0	1545.0
K03688	3917.0	1950.0
K12511	1340.0	860.0
K00297	8593.5	2741.5
K02527	4116.0	1811.0
K18855	2339.0	589.0
K07406	4533.0	208.0
K02433	11764.0	7741.0
K17222	266.0	80.0
K01799	644.0	647.0
K02454	10390.0	3600.0
K21377	146.0	34.0
K13788	1477.0	335.0
K01885	6576.0	3145.0
K10217	478.0	363.0
K01962	2935.0	1430.5
K01993	1857.0	866.0
K03704	2660.0	1512.0
K02434	5442.0	2648.0
K01579	788.0	310.0
K03616	3695.0	837.0
K02945	7185.0	3164.5
K21430	1885.0	1968.0
K16131	512.0	280.0
K01581	712.0	455.0
K07493	2693.0	1464.0
K00351	2740.0	1038.0
K07238	2159.0	744.0
K14729	874.0	514.0
K03243	399.0	215.0
K07481	4538.0	1627.0
K16149	1174.0	136.0
K02004	54286.0	25479.5
K07045	4942.0	2684.0
K02469	13169.0	6148.0
K01641	2330.0	626.0
K00259	5695.0	2673.0
K02492	4551.0	2256.0
K01138	19492.0	4273.0
K19337	197.0	186.0
K07218	1739.0	697.0
K00087	4979.0	1989.0
K13687	620.0	238.0
K00605	9721.0	4874.0
K01007	7224.0	3072.0
K00639	4951.0	1929.0
K13483	581.0	265.0
K02337	15133.0	6650.0
K00616	3382.0	1637.0
K06888	9545.0	5481.0
K10725	457.0	129.0
K01537	6919.0	3966.0
K06877	6621.0	1512.0
K01681	11563.0	6212.0
K00088	8082.0	3888.0
K01601	1713.0	475.0
K01992	15276.0	7198.0
K07552	1905.0	1447.0
K02549	990.0	470.0
K11720	2157.0	1198.0
K01692	7892.0	5919.0
K03527	4006.0	1827.5
K00059	34381.5	20558.5
K00163	5232.0	3477.0
K00992	1144.0	676.0
K03621	3191.0	1428.0
K22382	132.0	39.0
K04078	1767.0	933.0
K18740	248.0	111.0
K00700	3947.0	917.0
K04564	1475.0	677.0
K03979	4526.0	2162.0
K00974	4882.0	2010.0
K01695	3021.0	1544.0
K21552	90.0	29.0
K02674	7896.0	2975.0
K01991	3861.0	1658.0
K06075	411.0	285.0
K04485	4735.0	2176.0
K06199	983.0	501.0
K01042	4798.0	2203.5
K17759	4325.0	2160.0
K13599	5495.0	2312.0
K00764	8294.0	3343.0
K00666	15687.0	8815.5
K18122	1934.0	736.0
K00316	7625.0	2789.0
K03405	1174.0	927.0
K02292	3696.0	1615.0
K08764	533.0	380.0
K01872	11881.0	5594.0
K09607	1626.0	305.0
K07715	2387.0	938.0
K01895	14962.0	7339.0
K01465	10282.0	5162.0
K09141	1362.0	283.0
K04084	4714.0	2064.0
K21429	332.0	142.0
K01303	5575.0	2219.0
K03772	783.0	417.0
K09729	400.0	95.0
K03446	1381.0	845.0
K02115	3831.0	2043.0
K01153	12962.0	4740.0
K19563	58.0	20.0
K01810	4795.0	2406.0
K07798	6133.0	2717.0
K02123	1318.0	439.0
K03742	3442.0	1618.0
K03086	11455.0	6031.0
K07095	1186.0	383.0
K04751	1107.0	864.0
K02994	1531.0	832.0
K21471	4207.0	2266.0
K07001	8330.0	4258.0
K09471	4477.0	2246.0
K20276	24222.0	7622.0
K03703	6805.0	3461.0
K05889	1450.0	803.0
K13821	4955.0	3403.0
K03737	14397.0	3505.0
K03415	269.0	284.0
K00975	3016.0	686.0
K03924	14307.0	5025.0
K08679	3266.0	1497.0
K16703	1396.0	541.0
K01136	6908.0	1519.0
K07486	12544.0	9730.0
K07712	4850.0	2308.0
K00931	4330.0	2125.0
K00872	1235.0	762.0
K02521	144.0	238.0
K04763	14835.0	6155.0
K19954	872.0	152.0
K01990	25384.0	9918.0
K01820	537.0	57.0
K02548	2612.0	965.0
K13571	587.0	493.0
K05601	2961.0	321.0
K01939	6629.0	3151.0
K00548	20149.0	8260.0
K03388	23280.0	970.0
K06898	2646.0	884.0
K01893	3491.0	1176.0
K03790	1449.0	803.0
K11907	1784.0	425.0
K07652	1793.0	723.0
K03316	4438.0	2132.0
K00571	3572.0	2318.5
K01599	15143.0	2501.0
K02302	1483.0	880.0
K07133	6103.0	776.0
K04753	181.0	59.0
K07316	2524.0	680.0
K00354	1343.0	388.0
K07220	1682.0	673.0
K01892	5361.0	2542.0
K00989	3361.0	1627.0
K11069	1682.5	1175.0
K00266	14714.0	3972.0
K14742	1892.0	938.0
K12251	1743.0	706.0
K01626	2943.0	1922.0
K03147	5187.0	2716.0
K16014	633.0	606.0
K07749	10141.0	8893.0
K01474	8199.0	5556.0
K01960	2066.0	346.0
K13010	8393.0	2492.0
K07456	3829.0	1611.0
K01586	5326.0	2689.0
K06153	2807.0	1582.0
K01952	16735.0	7524.0
K01875	5206.0	2377.0
K06894	7811.0	1820.0
K00956	578.0	493.0
K01662	6933.0	2693.0
K01273	6678.0	2883.0
K01902	5144.0	2990.0
K18476	108.0	72.0
K06997	2814.0	1265.0
K06178	2835.0	1538.0
K00448	80.0	73.0
K00282	5055.0	1858.0
K19064	1004.0	258.0
K15580	2864.0	1391.0
K03587	5841.0	2900.0
K01814	3356.5	1725.5
K03787	3292.0	1326.0
