	16depth	25depth
K07647	474.0	397.0
K03117	354.0	301.0
K00450	215.0	395.0
K09474	97.0	35.0
K13950	192.0	82.0
K04562	2089.0	973.0
K03760	110.0	177.0
K16190	531.0	66.0
K16212	223.0	47.0
K02864	1800.0	978.0
K16044	1019.0	284.0
K00406	2058.0	1031.0
K12952	380.0	252.0
K16378	115.0	45.0
K00945	2719.0	1266.0
K01686	1500.0	427.0
K03562	1581.0	791.0
K03208	754.0	291.0
K00290	1334.0	752.0
K08738	1836.0	1487.0
K19966	347.0	331.0
K02948	1793.0	888.0
K01208	753.0	168.0
K10027	1126.0	393.0
K03501	1386.0	732.0
K08482	325.0	49.0
K09973	692.0	399.0
K06968	106.0	101.0
K07046	937.0	434.0
K00981	2361.0	1224.0
K11903	315.0	94.0
K09118	2556.0	1592.0
K08289	251.0	120.0
K02651	515.0	531.0
K07172	208.0	52.0
K16182	153.0	3.0
K15973	557.0	237.0
K11181	2375.0	140.0
K09765	451.0	46.0
K09797	103.0	12.0
K07459	960.0	344.0
K07261	208.0	87.0
K07387	1028.0	452.0
K09703	338.0	173.0
K02510	2697.0	1227.0
K02198	5085.0	3219.0
K10908	205.0	122.0
K11169	79.0	47.0
K22132	321.0	275.0
K14298	37.0	15.0
K11708	353.0	183.0
K03808	1572.0	899.0
K13020	1042.0	185.0
K05801	1224.0	669.0
K05568	6136.0	3440.0
K13963	1556.0	329.0
K18903	649.0	510.0
K21449	1829.0	696.0
K16180	235.0	16.0
K03412	3581.0	1538.0
K03210	785.0	404.0
K02343	5409.0	2821.0
K01091	3109.0	1606.0
K03773	740.0	475.0
K14152	220.0	177.0
K14534	1836.0	490.0
K22130	193.0	114.0
K13246	23.0	18.0
K01055	2377.0	1705.0
K01247	1174.0	752.0
K17322	391.0	234.0
K02476	160.0	178.0
K00145	3716.0	1887.0
K09942	147.0	75.0
K03470	2428.0	1327.0
K02392	1959.0	783.0
K10945	96.0	164.0
K01501	1504.0	434.0
K03536	809.0	437.0
K12442	184.0	50.0
K09933	916.0	240.0
K12373	2666.0	903.0
K03072	5252.0	2732.0
K08306	178.0	50.0
K03315	1480.0	824.0
K02006	821.0	209.0
K13640	315.0	214.0
K04083	909.0	776.0
K03736	61.0	59.0
K09163	203.0	64.0
K22492	3.0	0.0
K00901	563.0	289.0
K10700	226.0	74.0
K02009	196.0	40.0
K04561	1686.0	837.0
K06584	280.0	63.0
K01959	469.0	136.0
K01935	1279.0	680.5
K01807	1088.5	674.0
K09989	1393.0	681.0
K19597	75.0	13.0
K02459	620.0	247.0
K00434	4.0	1.0
K08998	1197.0	573.0
K18475	60.0	22.0
K07031	1162.0	501.0
K01838	760.0	271.5
K16181	268.0	7.0
K07445	1160.0	341.0
K18459	1421.0	827.0
K07739	1198.0	432.0
K03614	3952.0	1023.0
K06530	581.0	50.0
K01679	4340.0	2460.0
K01258	1515.0	459.0
K01051	1400.0	255.0
K10535	695.0	122.0
K16842	412.0	312.0
K18199	407.0	474.0
K14340	31.0	10.0
K09697	1002.0	440.0
K21903	649.0	220.0
K14623	161.0	28.0
K00294	3494.0	1435.0
K01269	851.0	374.0
K07788	374.0	180.0
K13449	19.0	7.0
K15924	301.0	48.0
K19117	124.0	17.0
K10545	255.0	190.0
K06039	360.0	66.0
K01432	735.0	546.0
K20881	455.0	195.0
K01185	148.0	187.0
K16016	200.0	26.0
K06023	1292.0	562.0
K21336	85.0	48.0
K03941	94.0	80.0
K02062	393.0	140.0
K05618	26.0	13.0
K00963	2594.0	1097.0
K07538	1006.0	418.0
K01476	1245.0	807.0
K12340	2007.0	1289.0
K05936	572.0	452.0
K08086	1139.0	601.0
K05879	372.0	89.0
K01087	817.0	562.0
K14520	347.0	393.0
K00179	5245.0	940.0
K13195	267.0	110.0
K07175	1052.0	500.0
K00180	1670.0	459.0
K04101	83.0	144.0
K03311	32.0	38.0
K15981	751.0	794.0
K16422	492.5	523.5
K07799	661.0	276.0
K15725	1744.0	952.0
K01623	1343.0	954.0
K05846	1170.5	865.0
K19689	1532.0	222.0
K03218	2610.0	1318.0
K01971	1122.0	1679.0
K11136	28.0	2.0
K08256	1124.0	606.0
K03289	107.0	28.0
K13497	87.0	24.0
K16695	105.0	39.0
K02356	2224.0	1188.0
K01949	280.0	328.0
K02526	16.0	2.0
K21573	1573.0	1370.0
K00451	827.0	750.0
K08680	798.0	505.0
K19793	1076.0	692.0
K03411	771.0	278.0
K09523	133.0	49.0
K18367	905.0	134.0
K00768	1566.0	955.0
K22086	453.0	259.0
K18988	204.0	90.0
K05718	72.0	37.0
K02259	2020.0	1578.0
K01941	339.0	369.0
K13311	32.0	10.0
K16127	161.0	39.0
K02878	1572.0	812.0
K22395	579.0	341.0
K14728	498.0	650.0
K13601	1069.0	131.0
K13995	573.0	572.0
K01455	999.0	691.0
K00066	695.0	318.0
K03832	2648.0	1456.0
K19586	189.0	155.0
K00009	451.0	23.0
K13958	12.0	0.0
K12602	266.0	61.0
K01027	268.0	101.0
K02612	351.0	253.0
K00702	877.0	135.0
K02553	181.0	232.0
K07447	1585.0	879.0
K08604	1105.0	207.0
K03336	1192.0	576.0
K09981	501.0	138.0
K07066	133.0	14.0
K09656	59.0	0.0
K16669	995.0	360.0
K03182	4598.0	3319.0
K19715	1349.0	177.0
K03314	660.0	369.0
K21147	2409.0	1406.0
K00171	779.0	190.0
K07533	479.0	144.0
K00349	1730.0	539.0
K01560	1476.0	1101.0
K02053	1149.0	785.5
K10117	319.0	71.0
K05786	1022.0	418.0
K09796	517.0	270.0
K02594	612.0	191.0
K00955	1877.0	1101.0
K16088	57.0	160.0
K00906	595.0	466.0
K11890	81.0	22.0
K03577	580.0	329.0
K07151	578.0	300.0
K05692	231.0	22.0
K04761	946.0	690.0
K04940	1282.0	225.0
K05524	1014.0	802.0
K13300	13.0	15.0
K04752	816.0	421.0
K01808	2405.0	996.0
K00405	1519.0	780.0
K07072	102.0	112.0
K04518	877.0	550.0
K22408	294.0	126.0
K06976	158.0	51.0
K03793	1078.0	635.0
K05606	1386.0	925.0
K16951	772.0	89.0
K07243	1283.0	758.0
K05715	444.0	178.0
K07184	648.0	343.0
K12405	1487.0	870.0
K10912	325.0	257.0
K14830	46.0	12.0
K12375	672.0	172.0
K02458	465.0	236.0
K03364	336.0	102.0
K01932	280.0	37.0
K22430	294.0	76.0
K00016	539.0	234.0
K11162	266.0	196.0
K14171	26.0	20.0
K03719	1290.0	850.0
K16416	760.0	344.0
K01628	1783.0	756.0
K06139	770.0	561.0
K01753	97.0	228.0
K05588	246.0	27.0
K14018	191.0	90.0
K13013	1234.0	843.0
K20140	26.0	7.0
K09459	874.0	421.0
K22350	452.0	881.0
K02687	2257.0	1219.0
K02636	958.0	372.0
K09971	1046.0	862.0
K18785	1545.0	327.0
K01878	2065.0	876.0
K02609	529.0	344.0
K01280	207.0	78.0
K16653	525.0	236.0
K11730	301.0	213.0
K03559	2346.0	960.0
K13016	380.0	115.0
K13327	245.0	94.0
K07340	250.0	227.0
K01277	574.0	351.0
K02473	656.0	277.0
K00313	550.0	312.0
K11325	457.0	178.0
K08683	1084.0	768.0
K00076	1027.0	611.0
K04109	362.0	260.0
K13611	1414.0	645.0
K13288	566.0	272.0
K19641	1074.0	447.0
K11294	463.0	331.0
K00273	526.0	396.0
K14941	176.0	165.0
K22347	243.0	85.0
K06923	463.0	451.0
K03867	689.0	258.0
K04750	374.0	318.0
K09992	2445.0	1091.0
K02394	1810.0	857.0
K16877	644.0	605.0
K00672	214.0	237.0
K16915	130.0	9.0
K13888	683.0	224.0
K01818	1696.0	175.0
K07402	4510.0	2715.0
K11891	662.0	190.0
K10590	169.0	115.0
K04786	293.0	126.0
K03451	1066.0	886.0
K21021	758.0	553.0
K00220	503.0	464.5
K12854	238.0	71.0
K03625	1312.0	666.0
K14753	436.0	101.0
K18850	377.0	299.0
K07539	1185.0	439.0
K13979	173.0	93.0
K07455	469.0	354.0
K19873	63.0	29.0
K19221	1205.0	596.0
K01634	1099.0	427.0
K22480	222.0	13.0
K00162	3402.0	1987.5
K10125	1825.0	792.0
K19189	23.0	24.0
K02554	184.0	159.0
K10799	154.0	23.0
K20971	772.0	258.0
K15974	27.0	28.0
K01576	1062.0	756.0
K01067	1192.0	501.0
K03807	445.0	197.0
K05351	346.0	96.0
K05834	464.0	637.0
K08304	914.0	471.0
K11475	406.0	242.0
K01014	454.0	410.0
K01082	1718.0	935.0
K13533	755.0	142.0
K07284	712.0	457.0
K11076	688.0	553.0
K07106	1744.0	662.0
K19329	375.0	187.0
K13584	381.0	413.0
K03426	965.0	840.0
K08675	21.0	8.0
K09125	1018.0	462.0
K02379	2276.0	1332.0
K15582	1365.0	673.0
K15655	349.0	114.0
K19694	782.0	340.0
K01299	1588.0	804.0
K07646	980.0	509.0
K12972	866.0	669.0
K07669	1071.0	517.0
K01835	2176.0	946.0
K02844	1306.0	489.0
K10536	1824.0	928.0
K00683	538.0	181.0
K00252	3123.0	2033.0
K03636	1011.0	777.0
K21883	830.0	662.0
K15771	98.0	24.0
K10012	957.0	380.0
K17214	97.0	20.0
K07119	2070.0	1690.0
K07488	680.0	236.0
K02874	1760.0	875.0
K06694	157.0	26.0
K07722	430.0	103.0
K01854	1187.0	403.0
K16171	761.0	521.0
K08302	120.0	16.0
K13612	317.0	108.0
K11159	670.0	701.0
K15396	715.0	399.0
K02042	1233.0	1324.0
K00164	5673.0	3775.0
K09926	182.0	55.0
K02416	1050.0	524.0
K01721	507.0	593.0
K07304	2008.0	1473.0
K02986	2461.0	1225.0
K10680	1568.0	1290.0
K13606	105.0	32.0
K21464	336.0	169.0
K19270	477.0	172.0
K15012	659.0	357.0
K22452	1934.0	893.0
K11782	595.0	322.0
K18567	14.0	6.0
K13668	2118.0	856.0
K18981	537.0	232.0
K12984	1420.0	457.0
K15256	963.0	451.0
K09744	102.0	19.0
K02768	287.666666666667	152.33333333333323
K02769	71.50000000000009	57.83333333333337
K02770	70.50000000000006	60.83333333333337
K08325	175.0	222.0
K00158	2034.0	1134.0
K21019	726.0	318.0
K01466	823.0	562.0
K20974	1845.0	831.0
K13236	145.0	194.0
K18398	130.0	73.0
K07166	68.0	15.0
K02613	530.0	280.0
K02169	1758.0	778.0
K08305	1458.0	1064.0
K18677	134.0	9.0
K13670	56.0	25.0
K00996	1240.0	420.0
K09835	1525.0	427.0
K21780	37.0	14.0
K08169	394.0	223.0
K06907	1387.0	654.0
K19449	102.0	82.0
K08253	308.5	184.0
K03045	78.0	2.0
K02388	800.0	380.0
K01236	153.0	191.0
K13015	3311.0	1455.0
K00633	243.0	134.0
K00255	173.0	93.0
K03153	1222.0	1091.0
K07221	1198.0	724.0
K14127	2677.0	97.0
K07040	577.0	303.0
K11068	2032.0	1054.0
K10259	71.0	9.0
K21816	80.0	9.0
K10742	190.0	69.0
K03402	383.0	304.0
K20998	66.0	14.0
K09972	948.0	633.0
K17048	56.0	18.0
K10560	85.0	30.0
K01156	3056.0	896.0
K06118	523.0	160.0
K00870	716.0	169.0
K01627	2799.0	1281.0
K15893	251.0	4.0
K20807	412.0	479.0
K01433	734.0	791.0
K19286	384.0	164.0
K04488	2095.0	1068.0
K12549	703.0	357.0
K12428	236.0	124.0
K02298	89.0	155.0
K21255	50.0	85.0
K06998	1166.0	679.0
K20222	6.0	6.0
K07129	82.0	8.0
K13745	686.0	338.0
K02106	495.0	584.0
K03743	1209.0	634.0
K09969	1135.0	985.0
K01265	3986.0	1885.0
K06985	532.0	370.0
K01194	1610.0	720.0
K03765	269.0	170.0
K00547	2818.5	1398.5
K03954	12.0	1.0
K07180	1594.0	931.0
K01904	264.0	196.0
K09159	161.0	151.0
K02258	446.0	335.0
K01482	1025.0	292.0
K00021	670.0	308.0
K02961	1329.0	677.0
K03154	569.0	335.0
K07501	740.0	341.0
K17235	24.0	3.0
K19810	322.0	252.0
K09133	458.0	4.0
K00125	814.0	21.0
K04757	1170.0	320.0
K14085	55.0	25.0
K21413	37.0	6.0
K01120	610.0	298.0
K21834	1892.0	851.0
K15358	253.0	191.0
K14388	250.0	95.0
K17324	428.0	225.0
K09504	33.0	9.0
K06415	1068.0	674.0
K16874	709.0	565.0
K21411	35.0	11.0
K01360	96.0	18.0
K03118	2447.0	1389.0
K15633	4706.0	2129.0
K00684	1424.0	712.0
K19342	317.0	116.0
K05607	353.0	136.0
K07232	505.0	427.0
K02107	15.0	23.0
K14448	958.0	777.0
K05800	526.0	333.0
K08972	609.0	299.0
K00631	2483.0	1214.0
K02021	773.0	727.0
K07560	1871.0	782.0
K04720	651.0	343.0
K00129	442.0	188.0
K06484	120.0	27.0
K20830	27.0	0.0
K17285	559.0	748.0
K21025	1046.0	498.0
K20608	891.0	205.0
K21624	848.0	448.0
K03687	1973.0	945.0
K16173	830.0	227.0
K07039	536.0	266.0
K01585	1598.0	1048.0
K03465	1169.0	697.0
K02427	1058.0	660.0
K07104	165.0	245.0
K05364	516.0	357.0
K01938	5783.0	1849.0
K06603	86.0	69.0
K16091	1201.0	733.0
K04755	745.0	442.0
K00064	789.0	264.0
K07506	394.0	319.0
K07164	488.0	234.0
K03049	115.0	71.0
K02002	738.5	970.0
K19576	73.0	94.0
K03753	986.0	389.0
K12600	204.0	70.0
K14441	3881.0	1432.0
K17756	373.0	295.0
K04061	175.0	129.0
K13894	917.0	487.0
K11356	316.0	159.0
K03437	1304.0	545.0
K00068	556.0	107.0
K19967	508.0	272.0
K18430	558.0	216.0
K01759	1809.0	1380.0
K01613	2475.0	1031.0
K12073	24.0	6.0
K01118	518.0	155.0
K01512	1048.0	480.0
K09883	824.0	722.0
K07671	71.0	28.0
K17818	170.0	28.0
K06442	1769.0	996.0
K09768	1279.0	605.0
K01908	2959.0	2056.0
K00559	513.0	266.0
K03558	600.0	443.0
K03656	625.0	513.0
K00835	254.0	101.0
K18007	393.0	43.0
K04074	414.0	134.0
K11443	1489.0	907.0
K16179	338.0	16.0
K01195	1667.0	180.0
K03333	1906.0	665.0
K03925	1272.0	626.0
K20201	63.0	29.0
K01630	714.0	242.0
K13041	474.0	195.0
K07030	1779.0	604.0
K11493	122.0	33.0
K22027	604.0	689.0
K07235	315.0	185.0
K13656	14.0	9.0
K10778	1376.0	992.0
K16704	12.0	4.0
K07499	147.0	106.5
K08279	106.0	63.0
K05591	1289.0	648.0
K21467	45.0	18.0
K09167	209.0	67.0
K09997	6.0	11.0
K12437	299.0	166.0
K02497	101.0	87.0
K16051	902.0	687.0
K00930	3526.5	1685.5
K05557	53.0	139.0
K00404	2789.0	1226.0
K06374	505.0	236.0
K02551	1293.0	773.0
K22227	2916.0	1083.0
K13770	561.0	124.0
K16262	77.0	29.0
K09915	719.0	322.0
K04767	2429.0	1274.0
K00587	452.0	116.0
K04112	1311.0	523.0
K00042	1424.0	825.0
K07177	171.0	99.0
K22106	121.0	49.0
K07670	457.0	198.0
K03932	1499.0	498.0
K00983	716.0	236.0
K18206	50.0	31.0
K09791	530.0	265.0
K02615	242.0	196.0
K12452	714.0	294.0
K15634	771.0	433.0
K01451	1618.0	862.0
K21559	55.0	8.0
K06024	1852.0	1021.0
K13315	690.0	220.0
K18827	184.0	120.0
K21328	17.0	14.0
K03474	2918.0	1422.0
K11886	1.0	0.0
K17488	85.0	0.0
K14379	163.0	97.0
K02856	575.0	75.0
K02323	175.0	128.0
K04102	534.0	587.0
K17768	198.0	55.0
K01839	1128.0	730.0
K17061	81.0	42.0
K07096	432.0	117.0
K13004	222.0	114.0
K01612	152.0	37.0
K12503	66.0	159.0
K03331	226.0	75.0
K09001	2964.0	1549.0
K02120	637.0	130.0
K02460	1175.0	639.0
K02067	2406.0	1209.0
K03075	884.0	419.0
K17735	661.0	563.0
K00348	1461.0	566.0
K18572	256.0	225.0
K01467	1181.0	516.0
K17248	179.0	113.0
K03887	851.0	261.0
K07795	907.0	754.0
K03974	941.0	327.0
K14638	548.0	219.0
K02401	1476.0	714.0
K11212	1113.0	878.0
K06033	22.0	33.0
K11410	285.0	74.0
K16213	568.0	89.0
K07535	789.0	479.0
K16167	649.0	473.0
K01919	2191.0	1627.0
K19304	899.0	597.0
K20449	339.0	233.0
K15525	196.0	89.0
K02364	540.0	270.0
K20497	782.0	877.0
K02381	792.0	361.0
K01502	296.0	148.0
K16371	161.0	44.0
K19181	1218.0	293.0
K18674	615.0	45.0
K19425	230.0	94.0
K21678	205.0	189.0
K13566	1057.0	317.0
K17884	305.0	131.0
K14447	1358.0	902.0
K00242	460.0	343.0
K00203	32.0	27.0
K15270	2301.0	1516.0
K00413	654.0	475.0
K15257	843.0	525.0
K00054	2071.0	718.0
K01496	960.0	467.0
K05996	1761.0	169.0
K16923	240.0	54.0
K11517	164.0	208.0
K01708	100.0	35.0
K12440	125.0	53.0
K10951	503.0	109.0
K07692	1258.0	450.0
K16024	6.0	0.0
K01023	159.0	126.0
K10615	333.0	103.0
K02635	1299.0	439.0
K22278	1859.0	900.0
K08654	612.0	165.0
K07161	1225.0	1120.0
K15662	240.0	93.0
K01621	494.0	657.0
K20457	38.0	15.0
K18313	323.0	264.0
K00507	1137.0	1079.0
K10805	1148.0	915.0
K01095	1238.0	645.0
K00390	1767.0	1271.0
K02404	1004.0	555.0
K16043	402.0	80.0
K00154	493.0	456.0
K07662	774.0	380.0
K03330	1048.0	210.0
K06879	423.0	269.0
K16089	778.0	534.0
K05499	298.0	95.0
K17995	884.0	106.0
K19068	159.0	37.0
K04033	325.0	176.0
K12255	464.0	344.0
K09126	545.0	0.0
K16698	987.0	477.0
K09024	90.0	78.0
K16950	393.0	35.0
K04480	82.0	11.0
K00457	1002.0	695.0
K06893	271.0	263.0
K13623	171.0	68.0
K14347	177.0	63.0
K01667	2263.0	944.0
K16122	22.0	9.0
K15011	718.0	521.0
K08952	52.0	20.0
K17203	82.0	9.0
K06483	227.0	87.0
K07309	170.0	56.0
K18893	433.0	367.0
K07317	437.0	102.0
K07234	2014.0	1320.0
K17744	410.0	104.0
K07240	764.0	741.0
K13776	242.0	51.0
K09158	149.0	97.0
K02968	825.0	442.0
K12506	879.0	622.0
K02892	963.0	514.0
K05527	618.0	396.0
K14761	124.0	74.0
K01659	608.0	464.0
K17220	4.0	0.0
K07128	108.0	17.0
K01431	1586.0	588.0
K04508	701.0	222.0
K13175	40.0	11.0
K12264	861.0	46.0
K09709	371.0	296.0
K02950	1713.0	870.0
K21308	369.0	256.0
K02824	251.0	435.0
K12137	452.0	65.0
K01761	2371.0	883.0
K15736	1004.0	754.0
K21024	592.0	551.0
K09065	1710.0	541.0
K00613	875.0	166.0
K07507	620.0	296.0
K02672	1123.0	596.0
K21586	419.0	117.0
K05710	521.0	648.0
K20454	812.0	707.0
K09143	335.0	100.0
K11719	313.0	221.0
K07059	1577.0	855.0
K16176	436.0	7.0
K22424	343.0	166.0
K11725	219.0	144.0
K02390	2321.0	1010.0
K03718	633.0	281.0
K14446	689.0	874.0
K09157	745.0	166.0
K05863	126.0	3.0
K09137	491.0	182.0
K10763	536.0	325.0
K19267	382.0	442.0
K03303	1431.0	751.0
K07255	32.0	25.0
K15323	4.0	0.0
K16125	487.0	218.0
K12436	855.0	264.0
K02055	1287.0	856.0
K18446	22.0	104.0
K08351	904.0	485.0
K02479	897.0	386.0
K06169	491.0	444.0
K00035	137.0	83.0
K21469	1252.0	502.0
K02902	856.0	428.0
K22348	526.0	623.0
K01517	93.0	9.0
K12286	50.0	69.0
K19515	571.0	50.0
K00603	498.0	149.0
K11358	723.0	315.0
K10896	424.0	118.0
K05844	1048.0	587.0
K03806	390.0	232.0
K01267	853.0	492.0
K06194	847.0	531.0
K00534	16.0	0.0
K08223	956.0	220.0
K02194	1752.0	1093.0
K00891	1815.0	969.0
K08688	364.0	266.0
K13641	774.0	541.0
K05792	48.0	22.0
K11913	203.0	80.0
K04021	908.0	269.0
K08261	165.0	117.0
K00411	737.0	476.0
K16785	333.0	41.333333333333336
K07777	1128.0	395.0
K22447	963.0	851.0
K06606	278.0	31.0
K19344	189.0	55.0
K07377	13.0	2.0
K13481	1510.0	966.0
K05873	231.0	77.0
K00895	488.0	71.0
K15545	39.0	1.0
K02619	506.0	299.0
K03462	241.0	243.0
K09811	1842.5	1141.5
K14654	169.0	66.0
K07094	165.0	12.0
K02884	1302.0	671.0
K17725	760.0	458.0
K21138	133.0	66.0
K22369	538.0	400.0
K15066	58.0	49.0
K05772	1589.0	759.0
K08968	714.0	293.0
K07464	248.0	104.0
K15641	137.0	81.0
K22199	36.0	10.0
K03726	587.0	288.0
K22399	9.0	12.0
K19131	144.0	32.0
K21826	561.0	521.0
K16046	582.0	643.0
K02231	697.0	497.0
K03721	489.0	288.0
K18911	999.0	846.0
K01608	190.0	73.0
K05540	3589.0	1583.0
K15223	37.0	11.0
K22320	1374.0	614.0
K09705	221.0	129.0
K11173	1092.0	340.0
K06972	1508.0	589.0
K02386	334.0	267.0
K18383	111.0	101.0
K16628	323.0	140.0
K06962	222.0	59.0
K21118	1.0	0.0
K18939	39.0	60.0
K03741	1424.5	534.5
K06916	760.0	636.0
K02490	1364.0	309.0
K12443	480.0	184.0
K08139	362.0	72.0
K10216	338.0	304.0
K03270	1776.0	688.0
K09489	27.0	3.0
K19341	696.0	369.0
K01639	578.0	124.0
K21437	33.0	8.0
K16306	336.0	126.0
K00279	163.0	180.0
K07463	279.0	217.0
K09689	63.0	45.0
K00055	462.0	224.0
K07248	114.0	81.0
K22316	232.0	148.0
K09692	47.0	20.0
K13628	1090.0	800.0
K09003	331.0	98.0
K11329	362.0	85.0
K11188	176.0	267.0
K21053	427.0	413.0
K14026	71.0	41.0
K00556	460.0	339.0
K13652	299.0	150.0
K02226	960.0	711.0
K06149	1417.0	1071.0
K20973	894.0	362.0
K02566	289.0	78.0
K03717	328.0	146.0
K17837	688.0	360.0
K14571	114.0	44.0
K17104	124.0	65.0
K18892	19.0	5.0
K17677	364.0	232.0
K10771	23.0	6.0
K00533	36.0	38.0
K09882	627.0	450.0
K11263	765.0	529.0
K14459	228.0	16.0
K06176	1465.0	663.0
K00452	128.0	155.0
K07651	907.0	374.0
K10715	632.0	225.0
K08832	51.0	23.0
K06891	670.0	384.0
K03312	1744.0	720.0
K00691	251.0	87.0
K03188	59.0	103.0
K14647	892.0	363.0
K03981	617.0	324.0
K09005	806.0	511.0
K21439	106.0	24.0
K21028	171.0	72.0
K00758	1400.0	712.0
K06957	125.0	167.0
K21146	19.0	16.0
K20742	88.0	60.0
K03679	119.0	106.0
K00696	988.0	209.0
K09778	1304.0	569.0
K21619	1169.0	92.0
K01536	32.0	20.0
K18366	56.0	42.0
K04566	819.0	724.0
K00196	1032.0	126.0
K05799	1226.0	836.0
K09879	164.0	72.0
K11429	47.0	20.0
K03503	164.0	169.0
K16495	160.0	77.0
K16270	5.0	0.0
K01942	18.0	1.0
K12434	91.0	40.0
K02907	711.0	333.0
K08659	228.0	29.0
K02188	658.0	472.0
K14597	535.0	220.0
K07319	206.0	88.0
K07141	1737.0	1146.0
K04113	980.0	534.0
K07665	767.0	379.0
K03786	1236.0	756.0
K01664	451.0	188.0
K02616	446.0	283.0
K01453	197.0	68.0
K21064	457.0	148.0
K08326	27.0	17.0
K19745	810.0	732.0
K21647	587.0	73.0
K01737	1844.0	837.0
K10857	27.0	18.0
K02083	231.0	81.0
K11936	733.0	327.0
K21594	78.0	44.0
K07726	525.0	300.0
K00838	21.0	30.0
K02108	2599.0	1325.0
K13774	387.0	281.0
K18786	145.0	30.0
K19049	303.0	46.0
K00276	233.0	344.0
K01746	215.0	23.0
K00801	383.0	252.0
K12283	503.0	317.0
K05986	76.0	44.0
K05555	953.0	823.0
K13137	199.0	65.0
K03047	159.0	90.0
K08162	34.0	15.0
K01312	78.0	55.0
K09716	85.0	25.0
K01975	1276.0	691.0
K16506	647.0	173.0
K11600	178.0	124.0
K00643	627.0	606.0
K21136	205.0	107.0
K02496	492.0	371.0
K02145	69.0	10.0
K03716	652.0	115.0
K22405	949.0	150.0
K21973	107.0	69.0
K16555	456.0	230.0
K18356	115.0	31.0
K05919	802.0	57.0
K08365	402.0	400.0
K08660	171.0	109.0
K01026	881.0	429.0
K07689	1242.0	518.0
K02012	2639.0	1689.0
K05830	526.0	216.0
K11954	18.0	19.0
K04719	898.0	569.0
K08641	424.0	248.0
K13245	29.0	34.0
K04116	245.0	255.0
K02954	905.0	552.0
K12146	258.0	118.0
K07649	539.0	309.0
K20967	109.0	18.0
K18954	78.0	94.0
K13775	626.0	497.0
K01713	209.0	92.0
K09817	1487.0	724.0
K00813	743.0	526.0
K21600	356.0	266.0
K08776	503.0	431.0
K05845	1156.5	849.0
K03116	871.0	457.0
K21084	1225.0	620.0
K00425	1143.0	530.0
K02499	830.0	286.0
K12317	2.0	0.0
K02676	341.0	150.0
K01489	694.0	319.0
K03436	386.0	75.0
K06880	190.0	74.0
K07388	19.0	0.0
K07774	176.0	83.0
K18843	295.0	146.0
K18334	387.0	201.0
K04651	802.0	171.0
K03457	1792.0	897.0
K21420	536.0	332.0
K01821	230.0	203.0
K01461	114.5	128.0
K10255	796.0	608.0
K14394	19.0	3.0
K02322	628.0	328.0
K00869	445.0	117.0
K16130	357.0	181.0
K06181	388.0	178.0
K11166	276.0	132.0
K06865	203.0	140.0
K03673	393.0	206.0
K09828	82.0	18.0
K03563	748.0	350.0
K18197	1112.0	48.0
K13412	202.0	82.0
K03328	1257.0	503.0
K07068	2944.0	1735.0
K22451	845.0	205.0
K20527	17.0	48.0
K09991	44.0	64.0
K11420	38.0	11.0
K08152	42.0	9.0
K20344	138.0	77.0
K04127	928.0	377.0
K07005	1364.0	840.0
K03747	286.0	158.0
K15023	1168.0	21.0
K10726	416.0	304.0
K15891	158.0	55.0
K17229	347.0	115.0
K18444	36.0	8.0
K07074	237.0	78.0
K04718	77.0	13.0
K21606	275.0	120.0
K15515	819.0	438.0
K12381	375.0	80.0
K00484	81.0	48.0
K08166	393.0	368.0
K16566	303.0	141.0
K02411	272.0	238.0
K13896	1270.0	710.0
K18592	160.0	40.0
K03823	822.0	622.0
K02132	415.0	139.0
K02121	180.0	79.0
K18603	51.0	148.0
K06996	1837.0	1274.0
K11898	257.0	56.0
K02022	523.0	400.0
K00288	625.0	109.0
K18814	217.0	36.0
K00886	289.0	216.0
K12417	90.0	45.0
K11483	20.0	0.0
K07120	293.0	386.0
K02440	338.0	216.0
K16872	201.0	206.0
K13507	304.0	123.0
K10614	354.0	119.0
K18900	1084.0	1524.0
K15652	65.0	14.0
K13592	51.0	71.0
K19854	281.0	141.0
K06218	801.0	237.0
K22210	397.0	265.0
K18928	990.0	676.0
K01663	411.0	15.0
K21304	316.0	108.0
K06878	321.0	234.0
K09457	724.0	318.0
K07394	30.0	60.0
K13627	49.0	5.0
K13985	782.0	308.0
K00453	426.0	469.0
K13490	325.0	63.0
K13796	764.0	807.0
K16850	667.0	34.0
K03589	1063.0	587.0
K22297	63.0	66.0
K15444	39.0	4.0
K03594	820.0	425.0
K00933	70.0	46.0
K09994	33.0	32.0
K18802	280.0	100.0
K14588	122.0	30.0
K13529	1321.0	859.0
K22349	649.0	688.0
K12271	22.0	9.0
K19243	123.0	56.0
K00595	752.0	554.0
K15897	169.0	96.0
K05816	493.0	350.0
K02019	245.0	196.0
K11897	161.0	38.0
K01254	509.0	251.0
K18882	84.0	45.0
K03600	205.0	181.0
K18456	843.0	281.0
K01716	828.0	483.0
K02624	432.0	335.0
K21801	337.0	187.0
K00004	1545.0	430.0
K22213	194.0	59.0
K22339	146.0	16.0
K19159	276.0	69.0
K01617	157.0	147.0
K02480	1409.0	676.0
K17228	608.0	684.0
K03546	1287.0	1149.0
K03184	238.0	205.0
K09987	185.0	170.0
K00822	1455.0	1211.0
K14051	408.0	345.0
K22296	90.0	112.0
K05570	416.0	182.0
